No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q5.html"",""平成28年秋期 問5"")",2026/7/27
2,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/02_menjo/q44.html"",""令和2年免除 問44"")",2026/7/27
3,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/26_aki/q58.html"",""平成26年秋期 問58"")",2026/7/27
4,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q29.html"",""平成27年秋期 問29"")",2026/7/27
5,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_aki/q20.html"",""平成29年秋期 問20"")",2026/7/27
6,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_aki/q11.html"",""平成29年秋期 問11"")",2026/7/27
7,×,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q65.html"",""平成30年春期 問65"")",2026/7/27
8,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q26.html"",""平成30年春期 問26"")",2026/7/27
9,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/08_haru/q6.html"",""令和8年春期 問6"")",2026/7/27
10,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/07_haru/q2.html"",""令和7年春期 問2"")",2026/7/27
11,○,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_haru/q61.html"",""平成27年春期 問61"")",2026/7/27
12,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q36.html"",""平成27年秋期 問36"")",2026/7/27
13,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q8.html"",""平成27年秋期 問8"")",2026/7/27
14,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/08_haru/q9.html"",""令和8年春期 問9"")",2026/7/27
15,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_haru/q11.html"",""平成28年春期 問11"")",2026/7/27
16,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/31_haru/q3.html"",""平成31年春期 問3"")",2026/7/27
17,×,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_haru/q63.html"",""平成27年春期 問63"")",2026/7/27
18,×,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_haru/q49.html"",""平成29年春期 問49"")",2026/7/27
19,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q42.html"",""平成30年秋期 問42"")",2026/7/27
20,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_aki/q73.html"",""平成29年秋期 問73"")",2026/7/27
21,×,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/02_menjo/q71.html"",""令和2年免除 問71"")",2026/7/27
22,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/26_aki/q1.html"",""平成26年秋期 問1"")",2026/7/27
23,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/06_menjo/q10.html"",""令和6年免除 問10"")",2026/7/27
24,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_haru/q52.html"",""平成27年春期 問52"")",2026/7/27
25,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q39.html"",""平成30年春期 問39"")",2026/7/27
26,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/26_aki/q7.html"",""平成26年秋期 問7"")",2026/7/27
27,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_haru/q48.html"",""平成27年春期 問48"")",2026/7/27
28,○,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.fe-siken.com/kakomon/26_aki/q78.html"",""平成26年秋期 問78"")",2026/7/27
29,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.fe-siken.com/kakomon/03_menjo/q62.html"",""令和3年免除 問62"")",2026/7/27
30,×,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q71.html"",""平成28年秋期 問71"")",2026/7/27
31,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q69.html"",""平成30年春期 問69"")",2026/7/27
